STT,Mã học phần,Tên học phần,Số tín chỉ (Credits)
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC12107,"Hệ thống thông tin phục vụ trí tuệ kinh doanh (Information Systems for Business Intelligence)",4
5,CSC12005,"Phát triển ứng dụng hệ thống thông tin hiện đại (Modern Information System Application Development)",4
6,CSC17106,"Xử lý phân tích dữ liệu trực tuyến (Online Analytical Data Processing)",4
7,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC12111,"Quản trị cơ sở dữ liệu hiện đại (Modern Database Administration)",4
5,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC12108,"Ứng dụng phân tán (Distributed Applications)",4
5,CSC17101,"Hệ thống tư vấn (Recommender Systems)",4

# >>> CHUYÊN NGÀNH: Kỹ thuật phần mềm (Software Engineering)
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC13008,"Phát triển ứng dụng web (Web Application Development)",4
3,CSC13102,"Lập trình ứng dụng Java (Java Application Programming)",4
4,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC13005,"Phân tích và quản lý yêu cầu phần mềm (Software Requirements Analysis and Management)",4
2,CSC13009,"Phát triển phần mềm cho thiết bị di động (Mobile Software Development)",4
3,CSC13001,"Lập trình Windows (Windows Programming)",4
4,CSC13010,"Thiết kế phần mềm (Software Design)",4
5,BAA00102,"Kinh tế chính trị Mác - Lênin (Marxist-Leninist Political Economy)",2
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC13003,"Kiểm thử phần mềm (Software Testing)",4
4,CSC13006,"Quản lý dự án phần mềm (Software Project Management)",4
5,CSC13106,"Kiến trúc phần mềm (Software Architecture)",4
6,CSC13112,"Thiết kế giao diện (Interface Design)",4
# --- Học kỳ 10 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC13114,"Phát triển ứng dụng web nâng cao (Advanced Web Application Development)",4
5,CSC13007,"Phát triển game (Game Development)",4
6,CSC13103,"Nhập môn hệ thống phân tán (Introduction to Distributed Systems)",4
7,CSC13107,"Mẫu thiết kế hướng đối tượng và ứng dụng (Object-Oriented Design Patterns and Applications)",4
8,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC13116,"Đồ án Công nghệ phần mềm (Software Engineering Project)",4
5,CSC13118,"Phát triển ứng dụng cho thiết bị di động nâng cao (Advanced Mobile Application Development)",4
6,CSC13101,"Các chủ đề nâng cao trong Công nghệ phần mềm (Advanced Topics in Software Engineering)",4
7,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC13115,"Các công nghệ mới trong phát triển phần mềm (Emerging Technologies in Software Development)",4

# >>> CHUYÊN NGÀNH: Khoa học máy tính (Computer Science)
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC14004,"Khai thác dữ liệu và ứng dụng (Data Mining and Applications)",4
3,CSC14005,"Nhập môn học máy (Introduction to Machine Learning)",4
4,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC10108,"Trực quan hóa dữ liệu (Data Visualization)",4
2,CSC14006,"Nhận dạng (Pattern Recognition)",4
3,CSC14008,"Phương pháp nghiên cứu khoa học (Scientific Research Methods)",4
4,CSC14118,"Nhập môn dữ liệu lớn (Introduction to Big Data)",4
